price,postcode,total_square,rooms,floor,city,district,street_house
11300000,127106.0,37.1,2.0,8.0,Москва,Марфино район,Гостиничная_7
10260000,140060.0,54.0,2.0,2.0,unknown,unknown,Ленинградская_15
19362780,109316.0,62.1,2.0,20.0,Москва,Южнопортовый район,Волгоградский проспект_32
25856480,129594.0,64.48,2.0,19.0,Москва,Марьина Роща район,Марьиной Рощи 4-я_12
50000000,119361.0,120.0,3.0,24.0,Москва,Раменки район,улица Лобачевского_120
12925115,125438.0,35.0,1.0,7.0,Москва,Головинский район,Михалковская_52
6600000,143902.0,39.2,1.0,12.0,Балашиха,unknown,улица Советская_56
7199603,109052.0,20.1,1.0,24.0,Москва,Нижегородский район,Рязанский проспект_2
13550000,129347.0,63.1,3.0,4.0,Москва,Ярославский район,Ярославское шоссе_127
22050000,127427.0,46.07,2.0,5.0,Москва,Марфино район,улица Академика Королёва_21
10200000,108849.0,34.0,1.0,8.0,Москва,Внуковское поселение,улица Бориса Пастернака_12
8300000,143025.0,38.5,1.0,8.0,unknown,unknown,Связистов_1
13500000,111531.0,68.0,3.0,3.0,Москва,Ивановское район,шоссе Энтузиастов_100
12212640,108814.0,55.8,2.0,21.0,Москва,Южное Бутово район,Южные Сады жк улица_2
14400000,141207.0,86.5,3.0,12.0,Пушкино,unknown,Писаревская_5
24105540,123423.0,47.8,1.0,2.0,Москва,Хорошёво-Мнёвники район,Нижние Мнёвники_6
18300000,125362.0,73.0,3.0,5.0,Москва,Покровское-Стрешнево район,Свободы_8
14675000,140053.0,81.0,3.0,19.0,Котельники,unknown,микрорайон Силикат_5
30142700,107078.0,40.46,2.0,9.0,Москва,Красносельский район,проспект Академика Сахарова_11
8600000,111677.0,31.0,1.0,9.0,Москва,Некрасовка район,Маршала Ерёменко_5
10788015,119361.0,34.9,1.0,13.0,Москва,Очаково-Матвеевское район,Озёрная улица_25
46850000,119501.0,70.2,2.0,19.0,Москва,Очаково-Матвеевское район,Нежинская улица_5
8900000,127204.0,34.5,1.0,2.0,Москва,Северный район,Дмитровское шоссе_169
14500000,143002.0,89.9,3.0,1.0,Одинцово,unknown,Триумфальная_2
17900000,140055.0,105.5,3.0,2.0,Котельники,unknown,Строителей_5
15700000,109518.0,66.2,3.0,9.0,Москва,Текстильщики район,улица Саратовская_3
19260000,127427.0,38.61,1.0,11.0,Москва,Марфино район,улица Академика Королёва_21
15500000,129090.0,32.0,1.0,11.0,Москва,Мещанский район,Троицкая_10
16500000,117186.0,68.4,3.0,4.0,Москва,Котловка район,улица Нагорная_15
198915500,119285.0,162.0,4.0,13.0,Москва,Раменки район,2-й Мосфильмовский переулок_3
28500000,125284.0,67.7,2.0,8.0,Москва,Беговой район,1-й Боткинский проезд_6
14523000,121108.0,44.4,1.0,3.0,Москва,Фили-Давыдково район,Ивана Франко_6
68931120,115035.0,57.0,1.0,2.0,Москва,Замоскворечье район,Космодамианская набережная_4
6400000,109156.0,29.7,1.0,2.0,Москва,Выхино-Жулебино район,улица Генерала Кузнецова_18
14139310,143026.0,73.8,3.0,16.0,unknown,unknown,бульвар Эйнштейна_2
18192360,121357.0,45.49,2.0,20.0,Москва,Очаково-Матвеевское район,Аминьевское шоссе_4
9700000,108850.0,38.0,1.0,14.0,Москва,Внуковское поселение,Лётчика Грицевца_11
6600000,143909.0,34.0,1.0,10.0,Балашиха,unknown,Яганова_7
17500000,117647.0,55.9,2.0,12.0,Москва,Коньково район,Академика Капицы_32
6650384,143909.0,54.44,2.0,19.0,Балашиха,unknown,Трубецкая_10
73000000,119285.0,129.6,3.0,8.0,Москва,Раменки район,Мосфильмовская_8
10900000,117133.0,33.0,1.0,6.0,Москва,Тёплый Стан район,Академика Варги_28
35000000,119607.0,100.5,4.0,2.0,Москва,Раменки район,Мичуринский проспект_27
10569641,129343.0,25.8,1.0,30.0,Москва,Свиблово район,проезд Серебрякова_11
125000000,109028.0,160.0,4.0,2.0,Москва,Басманный район,Казарменный переулок_3
17097300,unknown,82.5,4.0,7.0,Москва,Сосенское поселение,ЖК Прокшино_5
10307606,129343.0,25.2,1.0,14.0,Москва,Свиблово район,проезд Серебрякова_11
59000000,105120.0,118.5,4.0,2.0,Москва,Таганский район,Наставнический переулок_6
33200000,121309.0,81.4,3.0,4.0,Москва,Филёвский парк район,улица Большая Филёвская_16
12490000,107370.0,40.2,3.0,2.0,Москва,Богородское район,улица Бойцовая_14
27487880,125362.0,102.0,3.0,32.0,Москва,Покровское-Стрешнево район,Строительный проезд_9
10200000,117405.0,35.0,1.0,5.0,Москва,Чертаново Южное район,Варшавское шоссе_168
8199999,141406.0,43.0,2.0,5.0,Химки,unknown,Пожарского_9
15000000,121471.0,40.5,1.0,9.0,Москва,Можайский район,Гжатская_5
30904483,115114.0,58.9,2.0,7.0,Москва,Замоскворечье район,Летниковская_3
15000000,143923.0,87.1,3.0,2.0,Балашиха,unknown,Дёмин Луг_6
13000000,109559.0,40.0,1.0,18.0,Москва,Люблино район,улица Верхние Поля_45
9400000,141406.0,50.9,2.0,6.0,Химки,unknown,Совхозная_4
38700000,125319.0,97.0,3.0,29.0,Москва,Аэропорт район,Кочновский проезд_4
34200000,123022.0,75.38,3.0,12.0,Москва,Пресненский район,улица 1905 года_17
14054274,123007.0,44.2,2.0,15.0,Москва,Хорошёвский район,Магистральная 1-я улица_25
126986160,125057.0,181.0,4.0,34.0,Москва,Хорошёвский район,Чапаевский переулок_3
7500000,141068.0,38.3,1.0,24.0,Королёв,unknown,Тарасовская улица_25
4499000,141107.0,28.2,1.0,9.0,Щёлково,unknown,Богородский микрорайон_19
65718900,117246.0,159.9,3.0,23.0,Москва,Черёмушки район,Херсонская_43
59725032,115432.0,107.0,4.0,7.0,Москва,Даниловский район,проспект Лихачёва_10
41020512,119136.0,71.0,2.0,8.0,Москва,Раменки район,Сетуньский 1-й проезд_6
7000000,143402.0,39.8,2.0,10.0,Красногорск,unknown,Жуковского_11
13300000,129345.0,68.5,2.0,2.0,Москва,Лосиноостровский район,Тайнинская улица_9
12800000,127410.0,50.2,2.0,7.0,Москва,Алтуфьевский район,Стандартная_27
8999900,140055.0,45.0,1.0,19.0,Котельники,unknown,Сосновая_2
13430348,unknown,59.01,2.0,6.0,Москва,Молжаниновский район,ЖК Молжаниново_1
5200000,143421.0,19.9,2.0,5.0,unknown,unknown,Заповедная улица_10
33000000,123182.0,101.1,4.0,9.0,Москва,Щукино район,Авиационная улица_19
5487560,143909.0,31.78,1.0,14.0,Балашиха,unknown,Трубецкая_10
99000000,125057.0,144.0,4.0,21.0,Москва,Хорошёвский район,Чапаевский переулок_3
64900000,119192.0,120.9,3.0,3.0,Москва,Раменки район,Ломоносовский проспект_25
73000000,119501.0,104.0,3.0,16.0,Москва,Очаково-Матвеевское район,Нежинская улица_5
13817440,125239.0,40.88,2.0,3.0,Москва,Коптево район,Старокоптевский переулок_4
13600000,140090.0,85.4,3.0,12.0,Дзержинский,unknown,улица Угрешская_20
23000000,143962.0,104.5,3.0,7.0,Реутов,unknown,Октября_28
14093644,unknown,54.0,2.0,6.0,Москва,Сосенское поселение,ЖК Прокшино_8
11800000,109029.0,37.2,1.0,14.0,Москва,Таганский район,Малая Калитниковская_20
50000000,123022.0,84.5,3.0,2.0,Москва,Пресненский район,Звенигородская 2-я улица_11
30818150,119361.0,69.0,2.0,12.0,Москва,Раменки район,улица Лобачевского_4
15000000,105082.0,45.0,1.0,2.0,Москва,Басманный район,Большая Почтовая_18
10050000,127410.0,44.7,2.0,1.0,Москва,Алтуфьевский район,Путевой проезд_26
43900000,119049.0,130.0,3.0,16.0,Москва,Якиманка район,Мытная_40
13200000,111673.0,50.4,2.0,4.0,Москва,Новокосино район,Новокосинская_11
9500000,140073.0,62.3,3.0,9.0,unknown,unknown,микрорайон Птицефабрика_34
26000000,129327.0,77.0,2.0,7.0,Москва,Бабушкинский район,улица Лётчика Бабушкина_22
20000000,107076.0,64.0,3.0,4.0,Москва,Сокольники район,Большой Матросский переулок_1
9450000,142720.0,64.8,2.0,12.0,unknown,unknown,Крымская_11
7100000,142029.0,58.6,2.0,5.0,unknown,unknown,бульвар Строителей_2
4700000,125476.0,19.8,2.0,1.0,Москва,Южное Тушино район,улица Василия Петушкова_9
5500000,141281.0,37.0,1.0,3.0,Ивантеевка,unknown,Трудовая_15
23836800,123154.0,62.4,2.0,38.0,Москва,Хорошёво-Мнёвники район,улица Генерала Глаголева_16
14480000,117342.0,64.1,3.0,1.0,Москва,Коньково район,Введенского_31
35897600,119361.0,79.0,2.0,29.0,Москва,Раменки район,улица Лобачевского_4
10423970,unknown,37.0,2.0,14.0,Москва,Сосенское поселение,ЖК Прокшино_5
18300000,123290.0,40.72,1.0,4.0,Москва,Пресненский район,Шмитовский проезд_39
21600000,115162.0,61.5,3.0,8.0,Москва,Даниловский район,Люсиновская_72
7999000,109382.0,21.6,2.0,23.0,Москва,Люблино район,Люблинская_78
30384875,107564.0,84.5,3.0,2.0,Москва,Богородское район,улица Краснобогатырская_38
9890000,115563.0,32.8,1.0,7.0,Москва,Орехово-Борисово Северное район,Борисовский проезд_12
12750000,108811.0,40.0,1.0,14.0,Московский,Московский поселение,Никитина_11
28745640,129085.0,76.86,3.0,8.0,Москва,Останкинский район,улица Годовикова_3
14400000,121359.0,41.7,2.0,4.0,Москва,Кунцево район,Рублёвское шоссе_127
12300000,143443.0,64.0,2.0,10.0,Красногорск,unknown,Игоря Мерлушкина_8
16500000,117624.0,72.0,2.0,3.0,Москва,Южное Бутово район,улица Поляны_5
7800000,105037.0,30.2,1.0,2.0,Москва,Измайлово район,Первомайская_14
7037000,107150.0,18.3,2.0,2.0,Москва,Богородское район,Ивантеевская_9
10099999,117216.0,35.7,1.0,2.0,Москва,Северное Бутово район,улица Грина_1
49900000,123423.0,87.6,3.0,14.0,Москва,Хорошёво-Мнёвники район,Саляма Адиля_2
5550000,142720.0,23.5,2.0,7.0,unknown,unknown,Новое шоссе_14
13169486,125504.0,37.92,2.0,19.0,Москва,Западное Дегунино район,Дмитровское шоссе_75
32000000,105120.0,48.0,1.0,11.0,Москва,Басманный район,Земляной Вал улица_37
158000000,101000.0,250.0,5.0,1.0,Москва,Басманный район,Подсосенский переулок_3
22000000,125284.0,54.0,2.0,1.0,Москва,Беговой район,Беговая_11
12081480,129343.0,25.0,1.0,38.0,Москва,Свиблово район,проезд Серебрякова_11
8200000,141033.0,65.1,2.0,6.0,unknown,unknown,Заречная_7
8950000,141074.0,53.0,2.0,16.0,Королёв,unknown,Пионерская_30
28215000,129090.0,51.3,2.0,2.0,Москва,Мещанский район,Олимпийский проспект_10
20800000,129594.0,69.6,3.0,6.0,Москва,Марьина Роща район,Марьиной Рощи 2-я_22
13900000,127055.0,32.0,1.0,4.0,Москва,Тверской район,1-й Тихвинский тупик_5
9701054,108814.0,36.4,1.0,15.0,Москва,Южное Бутово район,Южные Сады жк улица_2
41565498,121170.0,72.7,2.0,25.0,Москва,Дорогомилово район,Кутузовский проезд_16
9836852,108814.0,39.1,1.0,23.0,Москва,Южное Бутово район,Южные Сады жк улица_2
9851047,129343.0,25.1,1.0,20.0,Москва,Свиблово район,проезд Серебрякова_11
22800000,129281.0,78.0,3.0,13.0,Москва,Бабушкинский район,улица Лётчика Бабушкина_31
25418400,123308.0,45.0,1.0,37.0,Москва,Хорошёво-Мнёвники район,Шеногина_2
10498999,108814.0,41.4,2.0,2.0,Москва,Сосенское поселение,Василия Ощепкова_4
15319646,143441.0,63.03,3.0,18.0,Москва,Митино район,ЖК Аквилон Митино_1
11700000,143441.0,60.0,2.0,6.0,unknown,unknown,Сходненская_1
13600000,127434.0,44.4,2.0,3.0,Москва,Тимирязевский район,Дмитровское шоссе_13
9750000,109052.0,25.61,2.0,5.0,Москва,Нижегородский район,Нижегородская_74
42475952,123308.0,99.0,3.0,11.0,Москва,Хорошёво-Мнёвники район,Шеногина_2
11299000,140055.0,65.0,2.0,13.0,Котельники,unknown,2-й Покровский проезд_14
10195464,unknown,36.0,1.0,15.0,Москва,Сосенское поселение,ЖК Прокшино_5
120857100,119361.0,116.5,3.0,12.0,Москва,Раменки район,Мичуринский проспект_2
14500000,141501.0,53.0,1.0,4.0,Химки,unknown,Дружбы_1
11600000,108849.0,38.0,1.0,9.0,Москва,Внуковское поселение,Самуила Маршака_23
89995000,119049.0,106.0,4.0,6.0,Москва,Замоскворечье район,Мытная_7
44900000,119607.0,131.3,3.0,4.0,Москва,Раменки район,Мичуринский проспект_29
56012171,121170.0,108.9,3.0,42.0,Москва,Дорогомилово район,Кутузовский проезд_16
7000000,142720.0,40.0,2.0,5.0,unknown,unknown,Крымская_7
14700000,129301.0,43.0,2.0,19.0,Москва,Алексеевский район,проспект Мира_184
3600000,109156.0,15.8,2.0,2.0,Москва,Выхино-Жулебино район,Саранская_8
17093468,127287.0,40.64,1.0,7.0,Москва,Савёловский район,2-я Хуторская улица_34
13750000,117321.0,44.6,2.0,1.0,Москва,Тёплый Стан район,Островитянова_16
37157500,125424.0,83.5,2.0,3.0,Москва,Покровское-Стрешнево район,шоссе Волоколамское_22
17100000,117321.0,56.0,2.0,14.0,Москва,Тёплый Стан район,Профсоюзная_128
11799000,121596.0,45.4,2.0,5.0,Москва,Можайский район,Говорова_5
125000000,123557.0,174.0,4.0,13.0,Москва,Пресненский район,Большой Тишинский переулок_10
6950000,141401.0,30.9,1.0,14.0,Химки,unknown,Германа Титова_8
49000000,125284.0,95.0,3.0,18.0,Москва,Беговой район,Ленинградский проспект_29
18845624,123290.0,35.1,1.0,20.0,Москва,Хорошёво-Мнёвники район,Причальный проезд_8
21999000,125239.0,85.0,3.0,4.0,Москва,Коптево район,улица Коптевская_30
11646180,109316.0,36.4,1.0,16.0,Москва,Южнопортовый район,Волгоградский проспект_32
35000000,117292.0,98.0,3.0,8.0,Москва,Академический район,Нахимовский проспект_52
26618127,109316.0,80.83,3.0,26.0,Москва,Южнопортовый район,Волгоградский проспект_32
24227325,129594.0,65.25,2.0,43.0,Москва,Марьина Роща район,Марьиной Рощи 4-я_12
10999999,119619.0,31.5,1.0,3.0,Москва,Солнцево район,Юлиана Семёнова_8
19200000,117556.0,79.2,3.0,3.0,Москва,Нагорный район,Нахимовский проспект_1
13500000,143009.0,63.4,2.0,2.0,Одинцово,unknown,Северная_5
14979800,108811.0,62.0,2.0,9.0,Москва,Внуковское поселение,бульвар Андрея Тарковского_15
18838804,121087.0,64.0,2.0,5.0,Москва,Филёвский парк район,улица Барклая_6
23300000,121108.0,56.2,2.0,7.0,Москва,Фили-Давыдково район,Кастанаевская улица_66
26947528,121170.0,50.0,1.0,13.0,Москва,Дорогомилово район,Кутузовский проезд_16
11173658,unknown,40.6,2.0,10.0,Москва,Сосенское поселение,ЖК Скандинавия_23
9850000,141282.0,76.0,3.0,13.0,Ивантеевка,unknown,Новая Слобода_3
6000000,141280.0,42.0,2.0,2.0,Ивантеевка,unknown,Задорожная_3
14450000,121354.0,42.0,1.0,4.0,Москва,Можайский район,Кубинка_18
10250000,115432.0,25.8,1.0,3.0,Москва,Южнопортовый район,улица Трофимова_16
14950000,125504.0,34.7,1.0,32.0,Москва,Западное Дегунино район,Ильменский проезд_14
64125027,125167.0,84.7,3.0,22.0,Москва,Хорошёвский район,Ленинградский проспект_37
9600000,140060.0,76.4,2.0,15.0,unknown,unknown,Спортивная_1
39999999,125040.0,76.0,3.0,4.0,Москва,Беговой район,Ленинградский проспект_8
26000000,129626.0,72.9,3.0,2.0,Москва,Алексеевский район,Рижский проезд_1
6699000,127562.0,19.5,2.0,8.0,Москва,Отрадное район,Алтуфьевское шоссе_2
22000000,127224.0,51.0,2.0,13.0,Москва,Северное Медведково район,Широкая_30
48232400,123290.0,117.64,3.0,20.0,Москва,Пресненский район,Шмитовский проезд_39
39000000,119192.0,84.0,3.0,32.0,Москва,Раменки район,Мичуринский проспект_56
12800000,141070.0,70.0,2.0,8.0,Королёв,unknown,Фрунзе_1
5200000,141732.0,29.1,1.0,1.0,Лобня,unknown,Чкалова_11
21000000,141407.0,105.0,3.0,15.0,Химки,unknown,Молодёжная_78
181408800,119180.0,263.0,5.0,4.0,Москва,Якиманка район,2-й Казачий переулок_4
75000000,119285.0,100.0,3.0,30.0,Москва,Раменки район,Мосфильмовская_8
3900000,143006.0,19.9,2.0,25.0,Одинцово,unknown,Каштановая_4
20244900,109316.0,58.0,2.0,29.0,Москва,Южнопортовый район,Волгоградский проспект_32
8711645,141206.0,72.51,3.0,12.0,Пушкино,unknown,Школьная улица_28
4500000,143907.0,31.1,1.0,1.0,Балашиха,unknown,Живописная_1
11689742,108814.0,45.8,2.0,25.0,Москва,Южное Бутово район,Южные Сады жк улица_2
15970240,107370.0,38.39,2.0,20.0,Москва,Богородское район,Открытое шоссе_14
67499999,119571.0,112.0,3.0,5.0,Москва,Тропарёво-Никулино район,проспект Вернадского_94
11200000,115404.0,45.0,1.0,8.0,Москва,Бирюлёво Восточное район,6-я Радиальная улица_7
8553702,109052.0,24.0,1.0,23.0,Москва,Нижегородский район,Рязанский проспект_2
65000000,119296.0,141.7,4.0,3.0,Москва,Гагаринский район,Ломоносовский проспект_18
160000000,101000.0,165.6,5.0,3.0,Москва,Басманный район,Кривоколенный переулок_10
9590000,108815.0,56.0,2.0,7.0,Москва,Филимонковское поселение,Харлампиева_48
85000000,121357.0,219.0,6.0,20.0,Москва,Очаково-Матвеевское район,Нежинская улица_1
16499000,129343.0,51.7,2.0,11.0,Москва,Свиблово район,проезд Нансена_6
49473264,121170.0,97.0,3.0,10.0,Москва,Дорогомилово район,Кутузовский проезд_16
8100000,143441.0,44.0,1.0,14.0,unknown,unknown,Садовая_20
115949118,119270.0,175.0,6.0,9.0,Москва,Хамовники район,Фрунзенская 3-я_6
8000000,142029.0,54.4,2.0,17.0,unknown,unknown,бульвар Строителей_7
12000000,140054.0,64.0,2.0,21.0,Котельники,unknown,Парковый микрорайон_1
13500000,121359.0,44.3,1.0,8.0,Москва,Кунцево район,Партизанская_36
7500000,141703.0,44.0,2.0,3.0,Долгопрудный,unknown,Флотская_3
8650000,143988.0,50.0,2.0,5.0,Балашиха,unknown,микрорайон Павлино_2
6900000,141006.0,35.4,1.0,10.0,Мытищи,unknown,Олимпийский проспект_36
18688892,107076.0,45.0,1.0,3.0,Москва,Преображенское район,Бухвостова 1-я_12
8200000,142721.0,55.0,2.0,3.0,unknown,unknown,Литературный бульвар_2
97476995,119180.0,92.7,2.0,3.0,Москва,Якиманка район,улица Большая Якиманка_22
10900000,140016.0,55.0,2.0,7.0,Люберцы,unknown,Озёрная_9
14700000,115598.0,55.0,2.0,2.0,Москва,Бирюлёво Восточное район,Загорьевская_2
12503895,unknown,50.84,3.0,9.0,Москва,Молжаниновский район,ЖК Молжаниново_2
18770000,127427.0,35.29,1.0,23.0,Москва,Марфино район,улица Академика Королёва_21
7871621,109316.0,29.2,1.0,4.0,Москва,Южнопортовый район,Волгоградский проспект_32
16630480,111033.0,37.6,1.0,7.0,Москва,Лефортово район,Золоторожский Вал улица_28
115000000,119330.0,219.1,5.0,14.0,Москва,Раменки район,Университетский проспект_16
13000000,108849.0,43.3,1.0,19.0,Москва,Внуковское поселение,Анны Ахматовой_2
6900000,107140.0,20.0,2.0,2.0,Москва,Красносельский район,Московско-Казанский переулок_11
31500000,119361.0,84.0,3.0,13.0,Москва,Раменки район,улица Лобачевского_120
6700000,109029.0,16.2,2.0,2.0,Москва,Таганский район,Нижегородская_32
11990000,109382.0,39.0,2.0,23.0,Москва,Люблино район,Люблинская_80
29800000,123182.0,72.0,3.0,10.0,Москва,Щукино район,1-й Пехотный переулок_2
11500000,143006.0,80.0,3.0,14.0,Одинцово,unknown,Сосновая_30
10807314,115487.0,41.0,1.0,4.0,Москва,Нагатино-Садовники район,2-й Нагатинский проезд_2
30807000,123060.0,94.5,3.0,16.0,Москва,Щукино район,Расплетина_3
27450000,119192.0,46.0,1.0,5.0,Москва,Раменки район,Мосфильмовская_88
15800000,109462.0,58.5,2.0,15.0,Москва,Кузьминки район,Волжский бульвар_31
27786732,127287.0,61.0,2.0,7.0,Москва,Савёловский район,2-я Хуторская улица_34
16448947,unknown,64.0,3.0,7.0,Москва,Сосенское поселение,ЖК Прокшино_8
13032732,unknown,56.68,2.0,17.0,Москва,Молжаниновский район,ЖК Молжаниново_2
33500000,121087.0,78.0,3.0,3.0,Москва,Филёвский парк район,улица Большая Филёвская_4
9300000,111675.0,38.8,1.0,5.0,Москва,Косино-Ухтомский район,Руднёвка_22
5900000,140016.0,32.3,1.0,2.0,Люберцы,unknown,Вертолётная_24
7919590,141421.0,62.8,2.0,16.0,Химки,unknown,Ленина_45
68688000,117246.0,162.0,4.0,9.0,Москва,Черёмушки район,Херсонская_43
5550000,123007.0,15.2,2.0,1.0,Москва,Хорошёвский район,Хорошёвское шоссе_82
10995000,143401.0,38.6,1.0,3.0,Красногорск,unknown,Ильинский бульвар_2
22500000,108802.0,115.3,4.0,2.0,Москва,Сосенское поселение,проспект Магеллана_3
8700000,117148.0,37.8,1.0,7.0,Москва,Южное Бутово район,улица Маршала Савицкого_6
16666650,125438.0,46.8,2.0,7.0,Москва,Головинский район,Михалковская_52
5450000,141241.0,45.2,2.0,4.0,Пушкино,unknown,Акуловский проезд_1
18800000,105005.0,54.0,2.0,16.0,Москва,Басманный район,Фридриха Энгельса_36
14736885,109052.0,56.49,2.0,33.0,Москва,Нижегородский район,Новохохловская_15
14300000,129343.0,54.0,2.0,2.0,Москва,Свиблово район,Амундсена_5
12000000,127486.0,36.4,2.0,9.0,Москва,Западное Дегунино район,Дегунинская_7
9600000,143900.0,44.8,2.0,1.0,Балашиха,unknown,Карбышева_23
13576974,unknown,52.0,2.0,9.0,Москва,Сосенское поселение,ЖК Прокшино_8
6310054,141206.0,42.16,1.0,15.0,Пушкино,unknown,Школьная улица_28
35315806,115054.0,81.1,3.0,2.0,Москва,Даниловский район,Дубининская_59
19000000,125363.0,66.1,2.0,15.0,Москва,Южное Тушино район,Сходненская_12
20600000,143026.0,101.9,3.0,17.0,unknown,unknown,Можайское шоссе_52
12762140,108814.0,55.5,2.0,25.0,Москва,Южное Бутово район,Южные Сады жк улица_2
24100000,127015.0,72.0,3.0,5.0,Москва,Савёловский район,Бутырская_9
18000000,125363.0,63.5,3.0,7.0,Москва,Южное Тушино район,Сходненская_25
22650000,121471.0,50.0,2.0,9.0,Москва,Можайский район,Гжатская_5
11499000,125438.0,40.0,1.0,11.0,Москва,Головинский район,Онежская_17
12353041,109316.0,37.2,1.0,17.0,Москва,Южнопортовый район,Волгоградский проспект_32
22000000,108813.0,131.0,3.0,13.0,Московский,Московский поселение,улица Радужная_14
9500000,109052.0,36.0,1.0,18.0,Москва,Нижегородский район,Новохохловская_15
25500000,117648.0,75.6,3.0,3.0,Москва,Чертаново Северное район,микрорайон Северное Чертаново_2
9900000,143988.0,74.5,3.0,3.0,Балашиха,unknown,Романычева_1
9365544,142715.0,44.7,2.0,3.0,unknown,unknown,посёлок Развилка_7
57473999,125124.0,101.2,3.0,13.0,Москва,Беговой район,1-я улица Ямского Поля_28
9329717,115088.0,24.0,1.0,22.0,Москва,Печатники район,Южнопортовая_28
36000000,119526.0,133.4,5.0,3.0,Москва,Тропарёво-Никулино район,проспект Вернадского_101
8500000,140055.0,53.0,1.0,6.0,Котельники,unknown,Строителей_5
8700000,141021.0,41.6,1.0,10.0,Мытищи,unknown,улица Юбилейная_37
38000000,115114.0,81.0,3.0,12.0,Москва,Даниловский район,Павелецкая набережная_8
7500000,141080.0,58.0,2.0,6.0,Королёв,unknown,улица Академика Легостаева_8
4100000,140125.0,23.0,2.0,6.0,unknown,unknown,улица Лётчика Волчкова_1
12000000,111020.0,44.4,2.0,9.0,Москва,Лефортово район,Юрьевский переулок_20
33100000,123290.0,80.9,3.0,8.0,Москва,Пресненский район,Шмитовский проезд_39
17850000,119361.0,53.9,1.0,10.0,Москва,Очаково-Матвеевское район,улица Наташи Ковшовой_21
14314830,125362.0,37.9,1.0,37.0,Москва,Покровское-Стрешнево район,Строительный проезд_9
10350000,unknown,51.4,2.0,10.0,Москва,Сосенское поселение,проспект Куприна_30
11800000,107076.0,36.2,1.0,2.0,Москва,Сокольники район,Стромынка_19
8617137,125371.0,23.9,1.0,12.0,Москва,Покровское-Стрешнево район,шоссе Волоколамское_81
60119000,105120.0,79.0,2.0,15.0,Москва,Басманный район,Земляной Вал улица_37
32000000,127434.0,92.0,3.0,18.0,Москва,Тимирязевский район,Дмитровское шоссе_13
7988437,108801.0,23.6,1.0,9.0,Москва,Сосенское поселение,ЖК Скандинавия_15
9350000,141702.0,49.0,2.0,9.0,Долгопрудный,unknown,Парковая_48
12550000,127566.0,44.5,2.0,3.0,Москва,Отрадное район,Бестужевых_1
